address,lat,long,nearest_mrt,dist_to_mrt,nearest_prisch,is_<2km_prisch,nearest_top20,is_<2km_top20,time_to_city,nearest_mall,dist_to_mall,dist_to_city
707 BEDOK NTH RD,1.3354664982311102,103.919288377804,Bedok North,0.13911564244256544,DAMAI PRIMARY SCHOOL,1,ST. HILDA'S PRIMARY SCHOOL,0,37.66666666666667,Djitsun Mall Bedok,1.5496896183388449,9.445435611820669
120 BEDOK RESERVOIR RD,1.33089247225842,103.909920867054,Kaki Bukit,0.472477645483339,TELOK KURAU PRIMARY SCHOOL,1,TAO NAN SCHOOL,0,38.35,Djitsun Mall Bedok,2.255010817735088,8.311688989135652
169 BEDOK STH AVE 3,1.3203888458171498,103.94509390449801,Tanah Merah,0.780567084584363,TEMASEK PRIMARY SCHOOL,1,TEMASEK PRIMARY SCHOOL,1,37.96666666666667,East Village,1.265864350838279,11.16107295048764
64 NEW UPP CHANGI RD,1.3242185382782499,103.939856749673,Tanah Merah,0.8123614736011464,BEDOK GREEN PRIMARY SCHOOL,1,TEMASEK PRIMARY SCHOOL,1,38.13333333333333,Bedok Point,0.8341317475018999,10.787055882584308
507 BEDOK NTH AVE 3,1.33298071677208,103.93259903289,Bedok Reservoir,0.4030712845656572,YU NENG PRIMARY SCHOOL,1,ST. HILDA'S PRIMARY SCHOOL,1,39.5,Djitsun Mall Bedok,0.8353578327934162,10.521057055469399
718 BEDOK RESERVOIR RD,1.3366305993765,103.92574851611,Bedok Reservoir,0.8148130892184411,DAMAI PRIMARY SCHOOL,1,ST. HILDA'S PRIMARY SCHOOL,1,46.58333333333334,Djitsun Mall Bedok,1.2458405403745083,10.102206794729817
428 BEDOK NTH RD,1.3295399416262699,103.9276500842,Bedok,0.6710414354124753,FENGSHAN PRIMARY SCHOOL,1,TEMASEK PRIMARY SCHOOL,0,33.25,Djitsun Mall Bedok,0.4426755949619354,9.853111105725368
666 JLN DAMAI,1.33356543583211,103.908102521069,Kaki Bukit,0.19794595358171324,TELOK KURAU PRIMARY SCHOOL,1,TAO NAN SCHOOL,0,38.9,Paya Lebar Square,2.3757635886662127,8.345552994125395
651 JLN TENAGA,1.3321924321125,103.907363528438,Kaki Bukit,0.3703845784790465,TELOK KURAU PRIMARY SCHOOL,1,TAO NAN SCHOOL,0,38.03333333333333,Paya Lebar Square,2.212393587941168,8.184053563639266
771 BEDOK RESERVOIR VIEW,1.33593406213273,103.938866262286,Bedok Reservoir,0.6491894859092222,ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,1,ST. HILDA'S PRIMARY SCHOOL,1,46.71666666666667,East Village,0.9401648034304236,11.287408186614496
770 BEDOK RESERVOIR VIEW,1.3359250423406799,103.93846093336599,Bedok Reservoir,0.6045101645076899,ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,1,ST. HILDA'S PRIMARY SCHOOL,1,46.5,East Village,0.9793010372657904,11.248087299841794
183 BEDOK NTH RD,1.3264368602431498,103.94185092614401,Tanah Merah,0.5240079969239384,BEDOK GREEN PRIMARY SCHOOL,1,TEMASEK PRIMARY SCHOOL,1,37.266666666666666,East Village,0.7662643089420001,11.091156598162438
221A BEDOK CTRL,1.32520371636649,103.934772217554,Bedok,0.5242391949756892,BEDOK GREEN PRIMARY SCHOOL,1,TEMASEK PRIMARY SCHOOL,1,37.566666666666656,Bedok Point,0.26948807465115265,10.321783539908783
182 BEDOK NTH RD,1.3268699405256799,103.941832797556,Tanah Merah,0.5193492521331147,BEDOK GREEN PRIMARY SCHOOL,1,TEMASEK PRIMARY SCHOOL,1,36.03333333333333,East Village,0.7313364624747026,11.109675732645446
114 LENGKONG TIGA,1.32313486125334,103.91204571131,Kembangan,0.2822524431530403,ST. STEPHEN'S SCHOOL,1,TAO NAN SCHOOL,0,30.05,Bedok Mall,1.925160379229913,8.003312947333368
221C BEDOK CTRL,1.32499916612366,103.934234380089,Bedok,0.4607248729029842,BEDOK GREEN PRIMARY SCHOOL,1,TEMASEK PRIMARY SCHOOL,1,36.88333333333333,Bedok Point,0.2070903252318951,10.258092281936403
604 BEDOK RESERVOIR RD,1.33079235635694,103.913183390283,Kaki Bukit,0.6597301345433896,TELOK KURAU PRIMARY SCHOOL,1,TAO NAN SCHOOL,0,41.066666666666656,Djitsun Mall Bedok,1.9011649491101,8.591779535071055
140 BEDOK RESERVOIR RD,1.33488991400403,103.913386186589,Kaki Bukit,0.4822321036089514,TELOK KURAU PRIMARY SCHOOL,1,ST. HILDA'S PRIMARY SCHOOL,0,43.03333333333333,Djitsun Mall Bedok,2.0524601642281968,8.889460479908578
146 BEDOK RESERVOIR RD,1.3345996911992,103.912010752027,Kaki Bukit,0.3329140224205142,TELOK KURAU PRIMARY SCHOOL,1,ST. HILDA'S PRIMARY SCHOOL,0,39.55,Djitsun Mall Bedok,2.174146317709111,8.75094194127592
711 BEDOK RESERVOIR RD,1.3359734160825,103.923690295889,Bedok North,0.6320914813157049,DAMAI PRIMARY SCHOOL,1,ST. HILDA'S PRIMARY SCHOOL,0,44.2,Djitsun Mall Bedok,1.2792507811781857,9.87337766370278
139 BEDOK NTH AVE 3,1.32941001130624,103.93539726954799,Bedok,0.8283101719924392,FENGSHAN PRIMARY SCHOOL,1,TEMASEK PRIMARY SCHOOL,1,34.766666666666666,Bedok Point,0.6100718255948876,10.596549798477591
99 BEDOK NTH AVE 4,1.33393217749941,103.939470307742,Bedok Reservoir,0.7707452139057807,ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,1,ST. HILDA'S PRIMARY SCHOOL,1,39.58333333333333,East Village,0.7897727910188129,11.234918377015473
552 BEDOK NTH AVE 1,1.3319010498846102,103.927743782081,Bedok Reservoir,0.7878771273775668,FENGSHAN PRIMARY SCHOOL,1,ST. HILDA'S PRIMARY SCHOOL,0,37.183333333333344,Djitsun Mall Bedok,0.6789789783180767,9.997896805335866
645 JLN TENAGA,1.3316711787280602,103.906537912581,Kaki Bukit,0.4694017931302389,TELOK KURAU PRIMARY SCHOOL,1,TAO NAN SCHOOL,0,37.28333333333333,Paya Lebar Square,2.105613327700929,8.076803860086724
656 JLN TENAGA,1.33370804056257,103.907540967141,Kaki Bukit,0.2265968322082797,TELOK KURAU PRIMARY SCHOOL,1,TAO NAN SCHOOL,0,37.61666666666667,Paya Lebar Square,2.3417802438511384,8.308945864583979
33 CHAI CHEE AVE,1.3240091179437,103.925848135552,Bedok,0.4848897800020874,OPERA ESTATE PRIMARY SCHOOL,1,TEMASEK PRIMARY SCHOOL,0,34.05,Bedok Mall,0.38979703744663946,9.377753662154014
407 BEDOK NTH AVE 3,1.32846320022376,103.933682843781,Bedok,0.6234549649437624,FENGSHAN PRIMARY SCHOOL,1,TEMASEK PRIMARY SCHOOL,1,34.766666666666666,Bedok Point,0.4299698151650383,10.378923181433896
72 BEDOK STH AVE 3,1.3203665916887701,103.94366790698601,Tanah Merah,0.8289562573504999,TEMASEK PRIMARY SCHOOL,1,TEMASEK PRIMARY SCHOOL,1,38.266666666666666,East Village,1.2938970911089331,11.012293456997686
61 NEW UPP CHANGI RD,1.32275469870143,103.940776413808,Tanah Merah,0.8101682426715561,BEDOK GREEN PRIMARY SCHOOL,1,TEMASEK PRIMARY SCHOOL,1,40.65,Bedok Point,0.9610090171331558,10.815239957730721
636 BEDOK RESERVOIR RD,1.33105256973049,103.90438701717599,Ubi,0.6202731812495572,MAHA BODHI SCHOOL,1,TAO NAN SCHOOL,0,37.98333333333333,Paya Lebar Square,1.8861271423870087,7.851487564135541
661 JLN DAMAI,1.33447671801248,103.907884878854,Kaki Bukit,0.146311163276878,TELOK KURAU PRIMARY SCHOOL,1,TAO NAN SCHOOL,0,37.55,Paya Lebar Square,2.428994605274739,8.393961623100882
29A CHAI CHEE AVE,1.3247011141829,103.92385196833,Bedok,0.7107636993060737,OPERA ESTATE PRIMARY SCHOOL,1,TEMASEK PRIMARY SCHOOL,0,40.41666666666667,Bedok Mall,0.6027624564489225,9.219576631989861
23 SIN MING RD,1.3543527093096799,103.835823721667,Marymount,0.6877556581297039,AI TONG SCHOOL,1,AI TONG SCHOOL,1,41.35,Thomson Plaza,0.5439459434229634,7.973581746174281
24 SIN MING RD,1.35518696986305,103.83633799251301,Marymount,0.7417797147296693,AI TONG SCHOOL,1,AI TONG SCHOOL,1,42.78333333333333,Thomson Plaza,0.6031105146602174,8.051377267119069
406 SIN MING AVE,1.3629445537468898,103.83409350016899,Marymount,1.6308523859262238,AI TONG SCHOOL,1,AI TONG SCHOOL,1,40.0,Thomson Plaza,0.9818034107506152,8.942744328739755
146 BISHAN ST 11,1.34408604869725,103.854147568942,Braddell,0.8765748074639462,FIRST TOA PAYOH PRIMARY SCHOOL,1,PEI CHUN PUBLIC SCHOOL,1,35.03333333333333,Junction 8,0.9261751099098692,6.650182085031537
272 BISHAN ST 24,1.35629489446383,103.842822596127,Bishan,0.8438963362931168,AI TONG SCHOOL,1,CATHOLIC HIGH SCHOOL,1,40.183333333333344,Junction 8,0.9207351340276648,8.052677364957521
443 SIN MING AVE,1.35894835768493,103.83278765927099,Marymount,1.2978944175238931,AI TONG SCHOOL,1,AI TONG SCHOOL,1,43.26666666666666,Thomson Plaza,0.5176242864845567,8.546300203207927
107 BISHAN ST 12,1.3464176142096698,103.84792070684401,Bishan,0.4988622013510202,GUANGYANG PRIMARY SCHOOL,1,CATHOLIC HIGH SCHOOL,1,33.6,Junction 8,0.41904059865531934,6.913517108583297
113 BISHAN ST 12,1.3472318509573,103.848808988875,Bishan,0.4133009197413665,GUANGYANG PRIMARY SCHOOL,1,CATHOLIC HIGH SCHOOL,1,32.88333333333333,Junction 8,0.32787749764920504,6.998393994470491
153 BISHAN ST 13,1.3460859589011598,103.85507829721399,Bishan,0.9330862962653488,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,1,PEI CHUN PUBLIC SCHOOL,1,33.03333333333333,Junction 8,0.8669434814292114,6.8762563307859494
123 BISHAN ST 12,1.34648720621028,103.850461077477,Bishan,0.5506687112732914,GUANGYANG PRIMARY SCHOOL,1,CATHOLIC HIGH SCHOOL,1,34.86666666666667,Junction 8,0.4659823727797464,6.910466247470269
445 SIN MING AVE,1.3587114249903798,103.831720136073,Marymount,1.3451938071601353,AI TONG SCHOOL,1,AI TONG SCHOOL,1,43.28333333333333,Thomson Plaza,0.4572814545252472,8.550786950842658
114 BISHAN ST 12,1.34754941457825,103.848880515837,Bishan,0.3801865128242224,GUANGYANG PRIMARY SCHOOL,1,CATHOLIC HIGH SCHOOL,1,32.45,Junction 8,0.2943400668772334,7.033134601778503
191 BISHAN ST 13,1.35054161207715,103.85137106103201,Bishan,0.3547120176028188,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,1,CATHOLIC HIGH SCHOOL,1,36.316666666666656,Junction 8,0.3298346024665799,7.357745996611204
256 BISHAN ST 22,1.36131844778475,103.84268375564301,Ang Mo Kio,1.2317544362302837,ANG MO KIO PRIMARY SCHOOL,1,CATHOLIC HIGH SCHOOL,1,38.0,AMK Hub,1.0881093020724109,8.6061195499427
189 BISHAN ST 13,1.35022254582522,103.85183354346901,Bishan,0.4110051711218669,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,1,CATHOLIC HIGH SCHOOL,1,36.25,Junction 8,0.3788083506207112,7.3225063239151895
195 BISHAN ST 13,1.3483624977313,103.850897052933,Bishan,0.41190294586125104,GUANGYANG PRIMARY SCHOOL,1,CATHOLIC HIGH SCHOOL,1,35.08333333333333,Junction 8,0.3397490640388436,7.117134691340829
503 BISHAN ST 11,1.3490323753004199,103.84804751471901,Bishan,0.2094677818096662,GUANGYANG PRIMARY SCHOOL,1,CATHOLIC HIGH SCHOOL,1,30.516666666666666,Junction 8,0.13305699505771534,7.201392321859822
